"~id","~start_node_id","~end_node_id","~relationship_type"
"506","759","464","EXHIBITED_IN"
"507","682","464","EXHIBITED_IN"
"508","963","464","EXHIBITED_IN"
"509","726","464","EXHIBITED_IN"
"510","653","83","EXHIBITED_IN"
"511","753","144","EXHIBITED_IN"
"512","632","144","EXHIBITED_IN"
"513","1083","203","EXHIBITED_IN"
"514","1056","361","EXHIBITED_IN"
"515","962","240","EXHIBITED_IN"
"516","570","317","EXHIBITED_IN"
"517","561","317","EXHIBITED_IN"
"518","580","317","EXHIBITED_IN"
"519","582","402","EXHIBITED_IN"
"520","1129","132","EXHIBITED_IN"
"521","702","38","EXHIBITED_IN"
"522","679","38","EXHIBITED_IN"
"523","836","38","EXHIBITED_IN"
"524","997","481","EXHIBITED_IN"
"525","1209","185","EXHIBITED_IN"
"526","1280","185","EXHIBITED_IN"
"527","822","185","EXHIBITED_IN"
"528","964","185","EXHIBITED_IN"
"529","917","402","EXHIBITED_IN"
"530","1254","402","EXHIBITED_IN"
"531","520","402","EXHIBITED_IN"
"532","990","402","EXHIBITED_IN"
"533","777","81","EXHIBITED_IN"
"534","663","366","EXHIBITED_IN"
"535","758","149","EXHIBITED_IN"
"536","791","223","EXHIBITED_IN"
"537","967","153","EXHIBITED_IN"
"538","746","153","EXHIBITED_IN"
"539","862","153","EXHIBITED_IN"
"540","1212","153","EXHIBITED_IN"
"541","931","153","EXHIBITED_IN"
"542","1141","282","EXHIBITED_IN"
"543","1153","419","EXHIBITED_IN"
"544","901","416","EXHIBITED_IN"
"545","1173","224","EXHIBITED_IN"
"546","1188","224","EXHIBITED_IN"
"547","1319","224","EXHIBITED_IN"
"548","639","224","EXHIBITED_IN"
"549","1334","224","EXHIBITED_IN"
"550","1196","224","EXHIBITED_IN"
"551","1112","224","EXHIBITED_IN"
"552","1115","224","EXHIBITED_IN"
"553","724","224","EXHIBITED_IN"
"554","947","469","EXHIBITED_IN"
"555","642","221","EXHIBITED_IN"
"556","1006","440","EXHIBITED_IN"
"557","572","440","EXHIBITED_IN"
"558","838","122","EXHIBITED_IN"
"559","904","439","EXHIBITED_IN"
"560","1128","286","EXHIBITED_IN"
"561","813","73","EXHIBITED_IN"
"562","657","370","EXHIBITED_IN"
"563","595","452","EXHIBITED_IN"
"564","579","75","EXHIBITED_IN"
"565","873","159","EXHIBITED_IN"
"566","768","250","EXHIBITED_IN"
"567","943","408","EXHIBITED_IN"
"568","603","85","EXHIBITED_IN"
"569","806","489","EXHIBITED_IN"
"570","1071","99","EXHIBITED_IN"
"571","538","213","EXHIBITED_IN"
"572","574","311","EXHIBITED_IN"
"573","688","415","EXHIBITED_IN"
"574","771","283","EXHIBITED_IN"
"575","1074","110","EXHIBITED_IN"
"576","1317","100","EXHIBITED_IN"
"577","831","212","EXHIBITED_IN"
"578","1228","124","EXHIBITED_IN"
"579","608","382","EXHIBITED_IN"
"580","1048","183","EXHIBITED_IN"
"581","778","196","EXHIBITED_IN"
"582","933","170","EXHIBITED_IN"
"583","750","260","EXHIBITED_IN"
"584","1263","316","EXHIBITED_IN"
"585","932","316","EXHIBITED_IN"
"586","1009","131","EXHIBITED_IN"
"587","1132","256","EXHIBITED_IN"
"588","1026","134","EXHIBITED_IN"
"589","543","436","EXHIBITED_IN"
"590","1092","92","EXHIBITED_IN"
"591","745","302","EXHIBITED_IN"
"592","1020","302","EXHIBITED_IN"
"593","529","302","EXHIBITED_IN"
"594","1184","259","EXHIBITED_IN"
"595","1200","259","EXHIBITED_IN"
"596","952","259","EXHIBITED_IN"
"597","948","259","EXHIBITED_IN"
"598","809","259","EXHIBITED_IN"
"599","840","259","EXHIBITED_IN"
"600","889","259","EXHIBITED_IN"
"601","1265","259","EXHIBITED_IN"
"602","844","259","EXHIBITED_IN"
"603","548","259","EXHIBITED_IN"
"604","1341","259","EXHIBITED_IN"
"605","1201","259","EXHIBITED_IN"
"606","1222","259","EXHIBITED_IN"
"607","925","259","EXHIBITED_IN"
"608","1126","259","EXHIBITED_IN"
"609","1308","259","EXHIBITED_IN"
"610","509","259","EXHIBITED_IN"
"611","1281","201","EXHIBITED_IN"
"612","1336","201","EXHIBITED_IN"
"613","723","201","EXHIBITED_IN"
"614","1288","247","EXHIBITED_IN"
"615","692","480","EXHIBITED_IN"
"616","615","312","EXHIBITED_IN"
"617","687","444","EXHIBITED_IN"
"618","995","444","EXHIBITED_IN"
"619","1325","444","EXHIBITED_IN"
"620","916","444","EXHIBITED_IN"
"621","1150","444","EXHIBITED_IN"
"622","914","444","EXHIBITED_IN"
"623","1190","444","EXHIBITED_IN"
"624","1282","444","EXHIBITED_IN"
"625","918","444","EXHIBITED_IN"
"626","1091","444","EXHIBITED_IN"
"627","1058","202","EXHIBITED_IN"
"628","701","202","EXHIBITED_IN"
"629","877","284","EXHIBITED_IN"
"630","1061","358","EXHIBITED_IN"
"631","1073","495","EXHIBITED_IN"
"632","968","299","EXHIBITED_IN"
"633","566","62","EXHIBITED_IN"
"634","814","447","EXHIBITED_IN"
"635","1176","447","EXHIBITED_IN"
"636","780","441","EXHIBITED_IN"
"637","843","357","EXHIBITED_IN"
"638","804","385","EXHIBITED_IN"
"639","1338","385","EXHIBITED_IN"
"640","602","385","EXHIBITED_IN"
"641","1297","47","EXHIBITED_IN"
"642","671","47","EXHIBITED_IN"
"643","1016","47","EXHIBITED_IN"
"644","1266","47","EXHIBITED_IN"
"645","1242","47","EXHIBITED_IN"
"646","743","47","EXHIBITED_IN"
"647","868","310","EXHIBITED_IN"
"648","1017","383","EXHIBITED_IN"
"649","761","70","EXHIBITED_IN"
"650","787","463","EXHIBITED_IN"
"651","534","349","EXHIBITED_IN"
"652","617","349","EXHIBITED_IN"
"653","620","349","EXHIBITED_IN"
"654","668","349","EXHIBITED_IN"
"655","698","349","EXHIBITED_IN"
"656","699","349","EXHIBITED_IN"
"657","816","349","EXHIBITED_IN"
"658","849","349","EXHIBITED_IN"
"659","865","349","EXHIBITED_IN"
"660","870","349","EXHIBITED_IN"
"661","880","349","EXHIBITED_IN"
"662","908","349","EXHIBITED_IN"
"663","915","349","EXHIBITED_IN"
"664","928","349","EXHIBITED_IN"
"665","950","349","EXHIBITED_IN"
"666","966","349","EXHIBITED_IN"
"667","1068","349","EXHIBITED_IN"
"668","1064","349","EXHIBITED_IN"
"669","1079","349","EXHIBITED_IN"
"670","1117","349","EXHIBITED_IN"
"671","1123","349","EXHIBITED_IN"
"672","1160","349","EXHIBITED_IN"
"673","1189","349","EXHIBITED_IN"
"674","1197","349","EXHIBITED_IN"
"675","1202","349","EXHIBITED_IN"
"676","1229","349","EXHIBITED_IN"
"677","1232","349","EXHIBITED_IN"
"678","1248","349","EXHIBITED_IN"
"679","1261","349","EXHIBITED_IN"
"680","1271","349","EXHIBITED_IN"
"681","1275","349","EXHIBITED_IN"
"682","1293","349","EXHIBITED_IN"
"683","1296","349","EXHIBITED_IN"
"684","1337","349","EXHIBITED_IN"
"685","525","156","EXHIBITED_IN"
"686","594","156","EXHIBITED_IN"
"687","607","156","EXHIBITED_IN"
"688","627","156","EXHIBITED_IN"
"689","863","156","EXHIBITED_IN"
"690","560","156","EXHIBITED_IN"
"691","1043","156","EXHIBITED_IN"
"692","1158","156","EXHIBITED_IN"
"693","1295","156","EXHIBITED_IN"
"694","1330","156","EXHIBITED_IN"
"695","669","390","EXHIBITED_IN"
"696","612","95","EXHIBITED_IN"
"697","704","95","EXHIBITED_IN"
"698","728","95","EXHIBITED_IN"
"699","842","95","EXHIBITED_IN"
"700","898","95","EXHIBITED_IN"
"701","1005","95","EXHIBITED_IN"
"702","1042","95","EXHIBITED_IN"
"703","1289","95","EXHIBITED_IN"
"704","512","368","EXHIBITED_IN"
"705","528","368","EXHIBITED_IN"
"706","565","368","EXHIBITED_IN"
"707","604","368","EXHIBITED_IN"
"708","621","368","EXHIBITED_IN"
"709","730","368","EXHIBITED_IN"
"710","751","368","EXHIBITED_IN"
"711","913","368","EXHIBITED_IN"
"712","992","368","EXHIBITED_IN"
"713","1004","368","EXHIBITED_IN"
"714","1090","368","EXHIBITED_IN"
"715","1130","368","EXHIBITED_IN"
"716","1145","368","EXHIBITED_IN"
"717","974","368","EXHIBITED_IN"
"718","1175","368","EXHIBITED_IN"
"719","1205","368","EXHIBITED_IN"
"720","1246","368","EXHIBITED_IN"
"721","1270","368","EXHIBITED_IN"
"722","1050","54","EXHIBITED_IN"
"723","511","386","EXHIBITED_IN"
"724","521","386","EXHIBITED_IN"
"725","562","386","EXHIBITED_IN"
"726","590","386","EXHIBITED_IN"
"727","614","386","EXHIBITED_IN"
"728","644","386","EXHIBITED_IN"
"729","666","386","EXHIBITED_IN"
"730","675","386","EXHIBITED_IN"
"731","676","386","EXHIBITED_IN"
"732","677","386","EXHIBITED_IN"
"733","678","386","EXHIBITED_IN"
"734","695","386","EXHIBITED_IN"
"735","696","386","EXHIBITED_IN"
"736","707","386","EXHIBITED_IN"
"737","709","386","EXHIBITED_IN"
"738","711","386","EXHIBITED_IN"
"739","714","386","EXHIBITED_IN"
"740","720","386","EXHIBITED_IN"
"741","744","386","EXHIBITED_IN"
"742","748","386","EXHIBITED_IN"
"743","755","386","EXHIBITED_IN"
"744","808","386","EXHIBITED_IN"
"745","823","386","EXHIBITED_IN"
"746","824","386","EXHIBITED_IN"
"747","851","386","EXHIBITED_IN"
"748","924","386","EXHIBITED_IN"
"749","923","386","EXHIBITED_IN"
"750","936","386","EXHIBITED_IN"
"751","939","386","EXHIBITED_IN"
"752","985","386","EXHIBITED_IN"
"753","1041","386","EXHIBITED_IN"
"754","1087","386","EXHIBITED_IN"
"755","1089","386","EXHIBITED_IN"
"756","1096","386","EXHIBITED_IN"
"757","1100","386","EXHIBITED_IN"
"758","1102","386","EXHIBITED_IN"
"759","1187","386","EXHIBITED_IN"
"760","1240","386","EXHIBITED_IN"
"761","1258","386","EXHIBITED_IN"
"762","1274","386","EXHIBITED_IN"
"763","1284","386","EXHIBITED_IN"
"764","1300","386","EXHIBITED_IN"
"765","1326","386","EXHIBITED_IN"
"766","1340","386","EXHIBITED_IN"
"767","834","379","EXHIBITED_IN"
"768","1230","65","EXHIBITED_IN"
"769","1272","65","EXHIBITED_IN"
"770","1335","65","EXHIBITED_IN"
"771","542","65","EXHIBITED_IN"
"772","690","65","EXHIBITED_IN"
"773","588","65","EXHIBITED_IN"
"774","779","65","EXHIBITED_IN"
"775","1051","65","EXHIBITED_IN"
"776","1185","65","EXHIBITED_IN"
"777","735","65","EXHIBITED_IN"
"778","536","65","EXHIBITED_IN"
"779","624","65","EXHIBITED_IN"
"780","798","65","EXHIBITED_IN"
"781","888","65","EXHIBITED_IN"
"782","897","65","EXHIBITED_IN"
"783","1002","65","EXHIBITED_IN"
"784","1021","65","EXHIBITED_IN"
